Identified Proteins ,Accession Number,Alternate ID,Molecular Weight,114A,115A,116A,133A,137A,162A,192A,249A,278A,114B,115B,116B,133B,137B,162B,192B,249B,278B,081A,087A,088A,098A,100A,107A,108A,110A,125A,193A,203A,204A,254A,265A,269A,081B,087B,088B,098B,100B,107B,108B,110B,125B,193B,203B,204B,254B,265B,269B
mimecan  ,XP_048714326.1,OGN,34,1.779,1.017,1.7279,2.014,1.091,2.0235,0,0,2.856,0.96978,2.0664,1.9327,1.0178,0,1.972,0.93212,1.0811,2.0779,1.0821,0,0,0,0,2.1223,0,2.0245,1.0062,3.0672,1.9714,2.8633,3.2552,3.8773,1.9687,2.0301,0.96538,1.9679,1.034,1.9113,1.981,2.8518,3.1354,0,2.0129,1.9929,1.9807,2.1757,1.0278,1.0365
Cluster of histone H3-like  ,XP_048689262.1 ,H3C15,24,2.6685,0,1.7279,0,2.182,8.0941,0,0,0,0,0,4.8318,0,0,0,0,0,4.1557,7.5748,0,0,0,1.9565,0,0.89251,0,2.0125,0,0,0,4.3402,0,0,3.0452,2.8961,1.9679,2.068,0,0,0.95059,0,0,4.0257,0.99645,0,4.3513,0,2.0729
uncharacterized protein LOC125631117 [cathelicidin antimicrobial peptide preproprotein],XP_048693291.1,CAMP,33,1.779,2.0341,2.5918,2.014,2.182,2.0235,1.0037,2.0196,0.952,1.9396,2.0664,3.4434,2.0356,1.0729,0.98599,0.93212,6.0143,2.0779,3.2463,3.211,4.4008,1.0331,0.97824,1.0611,4.9652,1.0122,2.0125,1.0224,1.9714,0,2.1701,0.96933,0.98437,2.0301,0.96538,0.98397,1.034,0.95565,0.99048,1.9012,1.0451,1.9914,1.0064,0.99645,0.99034,2.1757,2.0557,2.6567
uncharacterized protein LOC125622340  ,XP_048676276.1 ,LOC125622340,39,4.4475,5.0851,5.1837,5.035,0,6.0706,1.0037,5.0489,1.904,0,0,1.9327,0,0,0,0,1.0811,0,2.1642,4.2813,4.8221,3.0994,0.97824,1.0611,7.1401,3.0367,4.025,2.0448,0,3.8177,1.0851,1.9387,0,0,0,0,0,0,0,1.9012,0,0,1.0064,0.99645,0.99034,0,0,0
Cluster of interleukin-1 receptor accessory protein isoform X9  ,XP_048719862.1 ,IL1RAP,42,0.8895,1.017,0.86394,1.007,1.091,1.0118,1.0037,2.0196,4.76,0.96978,2.0664,1.9327,1.0178,2.1458,0.98599,0.93212,1.0811,1.0389,1.0821,0,0.96441,1.0331,0,1.0611,0.89251,1.0122,1.0062,1.0224,0.9857,0,1.0851,2.908,2.9531,0,0.96538,0.98397,1.034,0.95565,0.99048,0.95059,1.0451,0.99568,1.0064,1.9929,0,1.0878,2.0557,1.0365
Cluster of nucleoside diphosphate kinase  ,XP_048674740.1 ,NME2,17,1.779,2.0341,4.3197,1.007,1.091,1.0118,0,1.0098,0.952,1.9396,0,0.96636,0,1.0729,0.98599,0.93212,0,0,1.0821,2.1406,0.96441,1.0331,2.9347,2.1223,5.355,2.0245,1.0062,0,0,0.95442,1.0851,0,0,1.0151,1.9308,0,1.034,0.95565,0.99048,0.95059,1.0451,0.99568,1.0064,0.99645,0,1.0878,1.0278,0
galectin-1  ,XP_048689470.1 ,LGALS1,15,2.6685,2.0341,2.5918,1.007,1.091,1.0118,1.0037,0,2.856,0.96978,2.0664,0.96636,1.0178,0,0.98599,0,0,0,1.0821,3.211,0.96441,0,2.9347,1.0611,0.89251,1.0122,2.0125,3.0672,2.9571,0.95442,2.1701,0.96933,0.98437,0,0.96538,0.98397,0,0.95565,0.99048,0.95059,0,0.99568,0,1.9929,0,0,0,0
SPARC isoform X1  ,XP_048717248.1 ,SPARC,34,1.779,2.0341,1.7279,1.007,1.091,2.0235,0,0,1.904,0,1.0332,1.9327,3.0533,2.1458,0.98599,0.93212,0,1.0389,0,1.0703,0,0,0,0,0,0,1.0062,0,0,0.95442,0,0,2.9531,1.0151,2.8961,1.9679,1.034,1.9113,1.981,0,3.1354,1.9914,2.0129,1.9929,2.971,2.1757,4.1114,1.0365
"Cluster of myosin light chain 1/3, skeletal muscle isoform  ",XP_048725270.1 ,MYL1,21,6.2265,1.017,7.7755,4.028,2.182,1.0118,6.0225,3.0293,1.904,0,0,2.8991,0,0,0,0,0,0,0,5.3516,0,1.0331,0.97824,0,8.9251,1.0122,1.0062,0,0,1.9088,0,9.6933,0,0,0,0,1.034,0.95565,0,1.9012,0,0,0,0,0,0,0,0
Cluster of neogenin isoform X10  ,XP_048722099.1 ,NEO1,156,2.6685,3.0511,0,1.007,2.182,2.0235,2.0075,4.0391,0.952,0.96978,1.0332,1.9327,1.0178,1.0729,0,0,0,1.0389,1.0821,2.1406,0.96441,1.0331,1.9565,1.0611,1.785,1.0122,3.0187,1.0224,1.9714,3.8177,0,0.96933,0.98437,2.0301,0,0.98397,0,0,0.99048,0,2.0903,0.99568,1.0064,0,0.99034,1.0878,1.0278,1.0365
granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ,XP_048715559.1 ,CSF2RA,47,1.779,0,1.7279,0,2.182,0,0,4.0391,0,0.96978,1.0332,0.96636,0,0,0,0,1.0811,1.0389,1.0821,2.1406,0.96441,1.0331,0,1.0611,0.89251,0,2.0125,1.0224,0.9857,0.95442,1.0851,2.908,0.98437,1.0151,0,0,1.034,0,0.99048,0.95059,0,0,1.0064,0.99645,0.99034,1.0878,1.0278,2.0729
ribonuclease inhibitor isoform X1  ,XP_048708514.1 ,RNH1,53,2.6685,2.0341,5.1837,0,2.182,0,1.0037,3.0293,0,2.9094,0,0.96636,0,0,0.98599,0.93212,0,0,0,3.211,0.96441,1.0331,1.9565,1.0611,7.1401,2.0245,2.0125,2.0448,0,1.9088,0,0.96933,0,0,0,0,0,0,0,2.8518,1.0451,0,0,0,0,0,1.0278,0
Cluster of deleted in malignant brain tumors 1 protein-like  ,XP_048690776.1 ,DMBT1,151,0.8895,2.0341,0.86394,1.007,0,1.0118,2.0075,1.0098,1.904,0.96978,2.0664,1.9327,2.0356,1.0729,0.98599,1.8642,1.0811,1.0389,1.0821,1.0703,1.9288,2.0662,0.97824,1.0611,1.785,1.0122,1.0062,1.0224,2.9571,0.95442,1.0851,0.96933,0.98437,1.0151,0.96538,0.98397,3.102,1.9113,1.981,0.95059,1.0451,0.99568,1.0064,1.9929,0.99034,1.0878,1.0278,2.0729
desmin  ,XP_048724695.1,DES,52,1.1245,0.26864,1.0921,0,0,0.26725,0,0.26673,0,0,0,0.51052,0.26884,0,0,0.24621,0,0.27443,0.28583,0.28272,0.25474,0,0.2584,0,0,0,0.26579,0,0.26037,0.2521,0.28661,1.2254,0,0.26812,0.255,0.25991,0.27312,0.25243,0.26163,0,0.27607,0.263,0.26584,0.26321,0.26159,0.28734,0.2715,0
coagulation factor VII-like  ,XP_048689952.1,F7,49,1.779,2.0341,0.86394,0,0,2.0235,2.0075,0,0.952,2.9094,1.0332,1.9327,1.0178,1.0729,1.972,2.7964,2.1622,1.0389,3.2463,1.0703,0.96441,1.0331,0.97824,1.0611,2.6775,0,1.0062,0,0.9857,0,1.0851,0,0,2.0301,1.9308,1.9679,1.034,0.95565,0,0.95059,1.0451,1.9914,1.0064,0.99645,0.99034,3.2635,0,1.0365
vitelline membrane outer layer protein 1 homolog  ,XP_048694487.1,VMO1,25,0,0,0,0,0,0,0,1.0098,0,0.96978,0,2.8991,1.0178,1.0729,2.958,0.93212,3.2432,2.0779,0,1.0703,0,1.0331,0,0,0,0,0,0,0,0,1.0851,0,2.9531,3.0452,0,0,2.068,0,1.981,0.95059,4.1806,2.987,2.0129,0.99645,3.9614,5.4391,4.1114,4.1459
LOW QUALITY PROTEIN: filamin-C  ,XP_048692748.1,FLNC,291,4.2245,0.38102,12.202,0.37727,0.40873,0.37905,5.1431,0.37831,0,0,0,0.36204,0.38131,0.40196,0,0,0,0,0.40541,1.4713,0,0,0.36649,0,1.2269,0.75846,0.37698,0.38304,0.36929,0.71514,0,1.3325,0,0,0.36167,0.36864,0.38738,0,0,0.35613,0,0,0.37705,0,0,0,0.38508,0
cytochrome c  ,XP_048694380.1,CYCS,12,0.8895,0,0,0,2.182,0,0,0,0,1.9396,2.0664,2.8991,0,1.0729,0,0,0,1.0389,1.0821,0,0,1.0331,0.97824,0,1.785,0,0,0,0.9857,0,0,0,0,0,0,0,1.034,0,0,0.95059,0,0,1.0064,0,1.9807,0,0,0
chymotrypsinogen 2-like  ,XP_048673062.1,CTRB1,28,0,0,0,2.014,0,2.0235,3.0112,0,0.952,0,0,0,0,0,1.972,0,0,0,3.2463,2.1406,0.96441,0,0.97824,2.1223,9.8176,1.0122,5.0312,3.0672,1.9714,0,2.1701,1.9387,1.9687,0,0,0,0,0,0,3.8024,0,0,0,0,0,0,1.0278,0
Cluster of macrophage colony-stimulating factor 1 receptor isoform X2  ,XP_048715712.1 ,CSF1R,109,1.779,2.0341,0.86394,1.007,2.182,1.0118,1.0037,5.0489,0.952,0,2.0664,0,0,0,0,0.93212,1.0811,1.0389,1.0821,1.0703,1.9288,2.0662,0.97824,0,1.785,0,3.0187,2.0448,1.9714,2.8633,1.0851,0.96933,0.98437,1.0151,0.96538,0,0,0.95565,0.99048,2.8518,1.0451,0,0,0,0,0,0,1.0365
calpain small subunit 1  ,XP_048689130.1,CAPNS1,28,0,0,1.7279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0821,0,0,0,0,0,0.89251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cytosolic phospholipase A2 gamma-like  ,XP_048676681.1,PLA2G4C,57,0,0,2.5918,0,1.091,4.0471,2.0075,0,0,0,0,13.529,0,0,0,2.7964,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8177,0,0,0,0,4.8269,0,3.102,1.9113,0.99048,0,2.0903,0,3.0193,1.9929,3.9614,0,0,0
"myosin-binding protein C, fast-type  ",XP_048689348.1,MYBPC2,129,5.337,0,19.007,5.035,0,0,9.0337,1.0098,0,0,0,2.8991,0,0,0,0,0,0,0,0,0,0,0,0,3.57,0,0,0,0,0,0,0.96933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOW QUALITY PROTEIN: insulin-like growth factor-binding protein complex acid labile subunit  ,XP_048722923.1,IGFALS,75,0,0,0,1.007,0,0,2.0075,2.0196,1.904,0,2.0664,0.96636,2.0356,1.0729,0,0.93212,2.1622,1.0389,2.1642,2.1406,0,1.0331,0,2.1223,0.89251,1.0122,0,3.0672,0.9857,0,1.0851,0,1.9687,3.0452,0.96538,0.98397,0,2.8669,1.981,0,3.1354,0.99568,0,0,0,1.0878,0,0
"IgGFc-binding protein-like, partial  ",XP_048684757.1,FCGBP,170,0.8895,0,0.86394,1.007,1.091,1.0118,1.0037,1.0098,0.952,0.96978,1.0332,0.96636,1.0178,1.0729,0.98599,0.93212,1.0811,1.0389,1.0821,2.1406,0.96441,1.0331,0.97824,1.0611,0.89251,1.0122,1.0062,1.0224,0.9857,0.95442,1.0851,0.96933,0.98437,1.0151,0.96538,0.98397,1.034,0.95565,0.99048,0.95059,0,0.99568,1.0064,0.99645,0.99034,1.0878,1.0278,1.0365
coronin-1A  ,XP_048709329.1,CORO1A,51,1.779,2.0341,1.7279,1.007,3.2729,0,2.0075,1.0098,0.952,0.96978,0,0.96636,1.0178,0,0,0,1.0811,1.0389,2.1642,1.0703,0.96441,1.0331,0.97824,0,0.89251,1.0122,2.0125,1.0224,0,1.9088,1.0851,0.96933,0,0,0.96538,0.98397,1.034,0.95565,0.99048,0,0,0.99568,1.0064,0.99645,0,1.0878,1.0278,0
cell surface glycoprotein MUC18 isoform X1  ,XP_048683679.1 ,MCAM,70,0.8895,2.0341,1.7279,1.007,1.091,2.0235,2.0075,1.0098,2.856,0.96978,1.0332,1.9327,0,1.0729,0,0,1.0811,1.0389,2.1642,2.1406,0.96441,2.0662,0.97824,2.1223,1.785,1.0122,3.0187,2.0448,1.9714,0.95442,2.1701,1.9387,0.98437,1.0151,1.9308,0,0,0,0.99048,0,1.0451,0.99568,1.0064,0,0,1.0878,1.0278,1.0365
glycogen debranching enzyme isoform X2  ,XP_048716403.1,AGL,174,7.116,0,15.551,0,0,0,5.0187,2.0196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
angiopoietin-related protein 3  ,XP_048716630.1,ANGPTL3,53,0,0,0,0,0,0,1.0037,0,0.952,0.96978,1.0332,0.96636,1.0178,0,0.98599,0,1.0811,2.0779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9687,1.0151,1.9308,0.98397,1.034,0.95565,0.99048,0,0,0.99568,1.0064,0,0.99034,3.2635,1.0278,8.2918
vasorin  ,XP_048723806.1,VASN,74,0,1.017,0.86394,0,0,1.0118,0,0,0,0,0,0.96636,0,1.0729,0,0,0,0,0,0,0,0,0,0,0,0,1.0062,1.0224,1.9714,0,1.0851,0,1.9687,5.0753,1.9308,0.98397,0,2.8669,1.981,0,4.1806,0.99568,2.0129,0,0,0,1.0278,0
carboxypeptidase A1-like  ,XP_048692722.1,CPA1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1459,0,0,0,0
coagulation factor IX-like  ,XP_048720563.1,F10,68,0,1.017,0.86394,1.007,0,1.0118,1.0037,0,0.952,0.96978,1.0332,0.96636,1.0178,0,2.958,3.7285,0,1.0389,0,0,0,0,0,2.1223,0,1.0122,0,2.0448,0.9857,0,1.0851,0,0.98437,2.0301,0.96538,0.98397,0,0.95565,1.981,0.95059,1.0451,0.99568,2.0129,0.99645,0.99034,1.0878,0,1.0365
transgelin-2  ,XP_048684880.1,TAGLN2,22,2.6685,1.017,1.7279,2.014,3.2729,1.0118,0,3.0293,0.952,0,0,2.8991,0,0,0,1.8642,0,0,3.2463,2.1406,1.9288,1.0331,0.97824,1.0611,0,1.0122,3.0187,2.0448,0.9857,1.9088,0,0,0,0,0,0,0,0,0,0,0,0,1.0064,0.99645,0.99034,0,0,0
"aspartate aminotransferase, cytoplasmic  ",XP_048713256.1,GOT1,46,0.8895,1.017,2.5918,0,1.091,1.0118,1.0037,1.0098,0,0,0,1.9327,0,1.0729,0,0,0,0,0,2.1406,0,1.0331,0.97824,0,11.603,0,1.0062,0,0,0.95442,0,1.9387,0,0,0,0,0,0,0,3.8024,0,0,0,0,0,0,0,0
Cluster of elongation factor 2  ,XP_048687152.1 ,EEF2,95,5.337,4.0681,6.9115,4.028,0,4.0471,2.0075,0,0.952,0,0,0,0,0,0,0,0,0,1.0821,1.0703,0,0,0,0,5.355,0,3.0187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tubulin beta-1 chain  ,XP_048676034.1,TUBB1,51,1.779,1.017,2.384,0,2.182,2.0235,0,0,0,0,1.8178,2.6666,1.7907,2.1458,0,0.93212,0,0,4.0681,0,0,0,0,0,0,0,1.0062,1.0224,0,0.95442,0.82406,0.96933,0,0,3.6293,1.7313,1.8192,0,0,0,0,1.7519,3.7836,0.75676,0,1.0878,1.8085,0
Cluster of myc box-dependent-interacting protein 1 isoform X1  ,XP_048725133.1 ,BIN1,67,10.674,0,16.163,0,0,0,9.0337,2.0196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster of glutamate dehydrogenase 1, mitochondrial  ",XP_048715216.1 ,GLUD1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5553,0,0,0,0,0.99034,0,0,0
T cell receptor alpha chain MC.7.G5-like  ,XP_048677955.1,VPREB1,27,0,0,0.86394,1.007,0,0,1.0037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97824,1.0611,0,5.0612,0,0,0,0,0,0.96933,0,0,0,0,0,0,0,0,1.0451,0,0,0,0,0,0,0
"troponin I, fast skeletal muscle  ",XP_048709117.1,TNNI2,22,4.4475,1.017,8.6394,2.014,0,1.0118,2.0075,0,0.952,0,0,0.96636,1.0178,0,0,0,0,0,0,1.0703,0,0,0.97824,0,1.785,0,0,0,0,0.95442,0,5.816,0,0,0,0,0,0,0,0.95059,0,0,0,0,0,0,0,0
parvalbumin beta  ,XP_048722875.1,OCM2,12,6.2265,2.0341,11.231,5.035,1.091,0,5.0187,8.0782,0,0,0,0,0,0,0,0,0,0,1.0821,2.1406,1.9288,0,0.97824,0,0,2.0245,1.0062,0,0,0.95442,0,2.908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"collagen alpha-2 chain, partial  ",XP_048725932.1,COL5A2,146,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96538,0,0,0,0,0,0,0.99568,0,0,0,0,0,0
coactosin-like protein  ,XP_048672406.1,COTL1,16,0.8895,1.017,1.7279,0,1.091,3.0353,0,1.0098,0,0,0,0.96636,1.0178,0,0,1.8642,0,0,2.1642,2.1406,0,0,0,0,0,0,0,0,0,0.95442,0,0,0,0,1.9308,0,0,0,0,0,0,0,0,0,0.99034,0,0,0
plectin isoform X1  ,XP_048692930.1 ,PLEC,541,0.8895,0,3.4558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carboxypeptidase N catalytic chain isoform X1  ,XP_048714633.1,CPN1,52,1.779,0,0,0,0,0,0,1.0098,0,0.96978,0,0,0,0,0,0,1.0811,1.0389,2.1642,2.1406,0.96441,1.0331,0.97824,0,0.89251,0,2.0125,0,0,0,0,0,0,1.0151,0,0,1.034,0.95565,0,1.9012,0,0.99568,1.0064,0,0,1.0878,0,2.0729
laminin subunit beta-1  ,XP_048692274.1,LAMB1,197,0,0,0.86394,0,2.182,0,0,1.0098,0,0,0,0.96636,0,0,0,0,0,0,0,0,0,0,0,0,0.89251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meprin A subunit alpha  ,XP_048702206.1,MEP1A,81,0.8895,2.0341,0,0,0,3.0353,1.0037,0,0,0,2.0664,4.8318,1.0178,0,6.9019,0.93212,2.1622,1.0389,0,0,0,0,0,0,0,0,0,1.0224,0,0,0,0,2.9531,0,0.96538,2.9519,0,0,0,0,0,1.9914,0,0,2.971,0,0,2.0729
14-3-3 protein sigma  ,XP_048682053.1,SFN,28,3.726,2.0341,6.5373,2.2043,0.20612,3.0353,0,0,0,0,0,0,0,0.20271,0,0,0,0,1.0821,0,0,0,0,0,0,0,1.1964,0.19317,0,0,0,0,0,0,0,0,0,0,0,0,0.19746,0,0,0,0,0,0.1942,0
"carbamoyl-phosphate synthase , mitochondrial  ",XP_048726077.1 ,CPS1,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tropomyosin alpha-3 chain isoform X5  ,XP_048683908.1 ,TPM3,29,3.0407,2.0341,2.9533,1.007,1.091,2.0235,1.0037,1.0098,0,0,0,1.9327,1.0178,1.0729,0,0.93212,0,0,2.1642,2.1406,0,0,0.97824,0,0.89251,1.0122,2.0125,0,0.9857,0.95442,0,0.96933,0,0,1.9308,0,2.068,0,0,0,1.0451,0.99568,2.0129,0.99645,0.99034,1.0878,1.0278,0
reversion-inducing cysteine-rich protein with Kazal motifs isoform X1  ,XP_048695355.1,RECK,108,0,1.017,0,1.007,1.091,0,1.0037,1.0098,0,0,0,0,0,0,0,0.93212,0,0,1.0821,1.0703,1.9288,0,0,2.1223,0.89251,1.0122,1.0062,1.0224,0.9857,0.95442,0,0,0.98437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
protein-L-isoaspartate O-methyltransferase-like isoform X1  ,XP_048709290.1 ,PCMT1,27,0.8895,2.0341,1.7279,2.014,0,1.0118,2.0075,0,1.904,0,0,0,0,0,1.972,0.93212,1.0811,1.0389,1.0821,1.0703,1.9288,1.0331,0,3.1834,0.89251,1.0122,1.0062,2.0448,0.9857,1.9088,0,0.96933,0,0,0,0.98397,0,0,0,1.9012,0,0,0,0,0,0,0,0
Cluster of cadherin-11  ,XP_048672400.1 ,CDH11,88,0,3.0511,1.7279,0,0,1.0118,0,0,0.952,0.96978,0,0.96636,0,4.2917,0.98599,0,0,0,0,0,0,0,0,0,0,0,1.0062,0,0,0.95442,0,0,0.98437,3.0452,1.9308,1.9679,0,1.9113,1.981,0,4.1806,0.99568,1.0064,0.99645,0.99034,2.1757,1.0278,0
cytosolic non-specific dipeptidase isoform X1  ,XP_048696058.1 ,CNDP2,58,2.6685,2.0341,0.86394,2.014,0,2.0235,0,1.0098,0.952,0,0,0,0,0,0,0,0,0,0,3.211,0,1.0331,0,0,8.0326,0,3.0187,0,0.9857,0.95442,1.0851,0.96933,0.98437,0,0,0,0,0,0,0.95059,0,0,0,0,0,0,0,0
Cluster of leucine-rich repeat and fibronectin type-III domain-containing protein 2 isoform X1  ,XP_048699407.1 ,LRFN2,85,0.8895,0,0.86394,0,0,1.0118,0,0,0,0.96978,0,0,1.0178,1.0729,2.958,0.93212,0,4.1557,0,1.0703,0,1.0331,0,0,0,0,1.0062,0,0,0,1.0851,0,0,1.0151,0.96538,0.98397,1.034,0.95565,0.99048,0,0,2.987,2.0129,0.99645,0.99034,1.0878,0,0
CD44 antigen  ,XP_048708449.1,CD44,65,0,0,0,0,0,1.0118,0,0,0,0,1.0332,0,1.0178,0,0,0,0,0,2.1642,1.0703,0,1.0331,0,0,0.89251,0,0,2.0448,0,0,1.0851,0,0,0,0,0,0,0,0,0.95059,0,0,0,0,0,0,0,0
ficolin-3 isoform X1  ,XP_048681977.1,FCN3,34,0.8895,0,0.86394,0,1.091,0,1.0037,0,0,0.96978,0,0,0,1.0729,0,0.93212,0,0,3.2463,3.211,1.9288,0,0.97824,1.0611,1.785,0,0,0,0,0,0,0,0,0,0.96538,0.98397,0,0,0,0.95059,0,0,0,0.99645,0,0,0,1.0365
"mannosyl-oligosaccharide 1,2-alpha-mannosidase IA  ",XP_048700631.1,MAN1A1,73,0.8895,1.017,0,0,1.091,1.0118,1.0037,0,0.952,0.96978,0,0.96636,0,1.0729,0.98599,0,0,1.0389,0,1.0703,0.96441,0,0,0,0.89251,1.0122,0,0,0.9857,0,2.1701,0.96933,0,2.0301,0,0.98397,0,0.95565,0.99048,0.95059,1.0451,0.99568,0,0.99645,0,1.0878,1.0278,1.0365
chitotriosidase-1-like  ,XP_048682686.1,CHIT1,43,0.8895,0,0,1.007,1.091,0,0,1.0098,0,1.9396,2.0664,1.9327,2.0356,1.0729,0.98599,1.8642,2.1622,2.0779,0,2.1406,0.96441,0,0.97824,0,1.785,0,0,0,0,0,0,0.96933,0.98437,2.0301,1.9308,0.98397,0,0.95565,0.99048,1.9012,0,1.9914,1.0064,0.99645,1.9807,2.1757,1.0278,2.0729
phosphopentomutase isoform X1  ,XP_048704564.1,PGM2,76,1.779,2.0341,0.86394,1.007,3.2729,1.0118,1.0037,2.0196,1.904,1.9396,1.0332,1.9327,0,0,0.98599,0,0,0,0,1.0703,1.9288,2.0662,1.9565,0,1.785,1.0122,2.0125,1.0224,1.9714,1.9088,0,1.9387,0,0,0,0,0,0,0,1.9012,0,0,1.0064,0.99645,0,0,0,0
Cluster of tubulin beta chain  ,XP_048674752.1 ,TUBB,50,2.6685,1.017,1.9357,0,1.091,1.0118,0,0,0,0,1.2817,2.1652,1.2626,1.0729,0,0,0,0,1.3424,0,0,0,0,0,0,0,2.0125,1.0224,0,0.95442,1.3461,0,0,1.0151,1.1976,0.23669,1.2827,0.95565,0,0,0,0.2395,1.2485,0.23969,0.99034,0,0.24724,0
Parkinson disease protein 7  ,XP_048680628.1 ,PARK7,20,4.4475,2.0341,6.0476,3.021,0,0,5.0187,2.0196,0,0,0,0,0,0,0,0,0,0,1.0821,1.0703,0,1.0331,0,0,0,1.0122,1.0062,0,0.9857,2.8633,0,0.96933,0,0,0,0,0,0,0,0,0,0,1.0064,0,0,0,0,0
procollagen C-endopeptidase enhancer 1  ,XP_048689615.1,PCOLCE,50,1.779,1.017,0.86394,2.014,0,3.0353,1.0037,2.0196,0,0,0,0.96636,3.0533,1.0729,1.972,0,1.0811,0,1.0821,0,0.96441,0,0,1.0611,0.89251,2.0245,2.0125,1.0224,0,0.95442,1.0851,0,1.9687,4.0603,0.96538,0,0,0,0,0,1.0451,0.99568,1.0064,0.99645,0.99034,1.0878,2.0557,0
transketolase  ,XP_048713321.1,TKT,68,0,0,2.5918,0,1.091,1.0118,1.0037,3.0293,0.952,0,0,0,0,0,0,0.93212,0,0,1.0821,4.2813,0,0,0.97824,0,8.9251,0,0,1.0224,0,1.9088,0,0,0,0,0,0,0,0,0,5.7035,0,0,0,0,0,0,0,0
peroxiredoxin-2  ,XP_048687593.1,PRDX2,26,1.779,1.017,2.5918,1.007,0,3.0353,1.0037,1.0098,0.952,0.96978,0,1.9327,0,2.1458,0,0.93212,0,1.0389,2.1642,0,0,1.0331,0,0,0.89251,1.0122,0,1.0224,0.9857,0,1.0851,0,0.98437,1.0151,0.96538,0,0,0.95565,0.99048,0,0,0,2.0129,0.99645,0,1.0878,0,0
glutathione S-transferase-like isoform X1  ,XP_048701279.1,GSTA5,25,2.6685,1.017,3.7362,1.007,0,0,1.3296,1.3376,0.30906,0,0,0,0,0,0,0,0,0,0.3513,0.34747,0.31309,1.0331,1.2958,0,2.9673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster of histone H1-like  ,XP_048691323.1 ,H1-3,30,0.8895,0,0.86394,0,0,4.0471,0,0,1.2687,0.96978,1.0332,0.96636,1.0178,0,0.98599,0.93212,1.0811,1.3845,4.6884,0,0,0,0,0,0,1.0122,1.0062,1.0224,0,0,2.1701,0,0,1.0151,1.9308,0.98397,1.034,0.95565,0.99048,0.95059,1.0451,0.99568,1.0064,0.99645,0.99034,1.0878,1.0278,0
"fructose-1,6-bisphosphatase isozyme 2  ",XP_048707191.1,FBP2,37,6.524,0,12.095,3.021,0,0,8.0299,2.0196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
protein disulfide-isomerase  ,XP_048673369.1,P4HB,58,0.8895,1.017,1.7279,1.007,1.091,2.0235,0,1.0098,0,0,0,0.96636,0,0,0,0,0,0,1.0821,2.1406,0,0,0.97824,0,4.4625,1.0122,1.0062,0,0,0.95442,0,0.96933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fructose-bisphosphate aldolase B isoform X1  ,XP_048707125.1,ALDOB,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8518,0,0,0,0,0,0,0,0
LOW QUALITY PROTEIN: tenascin-X  ,XP_048673659.1,TNXB,475,0,0,0.86394,1.007,1.091,0,1.0037,0,0.952,0,0,0,0,0,0,0,0,0,0,0,1.9288,0,0,2.1223,1.785,1.0122,0,0,0,0.95442,1.0851,0,0.98437,0,0,0,0,0,0,0.95059,0,0,0,0,0,0,0,0
